city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
865,India,Korba,22.35,82.68333,456.114,1161,PARADIP,20.27,86.7,477,,,,,,
866,India,Kota,25.16645,75.856095,1599.354,420,BHAUNAGAR_I,21.8,72.3,522,,,,,,
867,India,Kottayam,9.58333,76.51667,885.396,438,COCHIN,9.97,76.27,51,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
868,India,Kozhikode (Calicut),11.25669,75.778724,4387.409,438,COCHIN,9.97,76.27,153,,,,,,
869,India,Kurnool,15.826681,78.035199,765.324,205,CHENNAI,13.1,80.3,389,,,,,,
870,India,Latur,18.4,76.58333,537.088,43,MUMBAI,18.92,72.83,400,,,,,,
871,India,Lucknow,26.85,80.91667,4132.671,1002,TRIBENI,22.98,88.4,869,,,,,,
872,India,Ludhiana,30.9,75.85,2028.679,596,KANDLA,23.02,70.22,1039,,,,,,
873,India,Madurai,9.93333,78.11667,1911.646,1072,TUTICORIN,8.75,78.2,132,,,,,,
874,India,Malappuram,11.06667,76.06667,4343.911,438,COCHIN,9.97,76.27,124,,,,,,
875,India,Malegaon,20.55,74.53333,799.708,43,MUMBAI,18.92,72.83,255,,,,,,
876,India,Mangalore,12.91723,74.85603,778.685,1423,MANGALORE,12.92,74.8,6,0.11447058823529412,0.5155000000000001,2.032294117647058,0.22573529411764703,0.5509999999999999,2.0624117647058817
877,India,Mathura,27.5,77.68333,664.568,420,BHAUNAGAR_I,21.8,72.3,836,,,,,,
878,India,Maunath Bhanjan,25.947485,83.558986,403.37,1002,TRIBENI,22.98,88.4,591,,,,,,
879,India,Meerut,28.97155,77.71934,1874.886,420,BHAUNAGAR_I,21.8,72.3,966,,,,,,
880,India,Moradabad,28.83333,78.78333,1369.879,420,BHAUNAGAR_I,21.8,72.3,1019,,,,,,
881,India,Morvi,22.816667,70.833333,398.763,596,KANDLA,23.02,70.22,67,0.11173529411764704,0.4575,1.8998823529411761,0.14258823529411763,0.45999999999999996,1.9004705882352937
882,India,Mumbai (Bombay),19.073975,72.880838,22088.953,43,MUMBAI,18.92,72.83,18,0.13788235294117646,0.4625,1.9388235294117642,0.19558823529411762,0.5145,1.991941176470588
883,India,Muzaffarnagar,29.46667,77.68333,836.997,420,BHAUNAGAR_I,21.8,72.3,1010,,,,,,
884,India,Muzaffarpur,26.11667,85.4,567.318,1002,TRIBENI,22.98,88.4,463,,,,,,
885,India,Mysore,12.29791,76.63925,1345.718,696,MANGALORE,12.85,74.83,206,,,,,,
886,India,Nagpur,21.15,79.1,3170.178,414,VISAKHAPATNAM,17.68,83.28,585,,,,,,
887,India,Nanded Waghala,19.161775,77.313728,772.996,43,MUMBAI,18.92,72.83,473,,,,,,
888,India,Nashik,19.98333,73.8,2351.139,43,MUMBAI,18.92,72.83,156,,,,,,
889,India,Navsari,20.948507,72.930834,374.793,420,BHAUNAGAR_I,21.8,72.3,115,,,,,,
890,India,Nellore,14.44625,79.9842,858.853,205,CHENNAI,13.1,80.3,154,,,,,,
891,India,Nizamabad,18.67154,78.0988,357.286,43,MUMBAI,18.92,72.83,556,,,,,,
892,India,Ottappalam,10.76667,76.38333,464.748,438,COCHIN,9.97,76.27,90,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
893,India,Palakkad,10.7725,76.65139,411.827,438,COCHIN,9.97,76.27,99,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
894,India,Panipat,29.38889,76.96806,611.17,420,BHAUNAGAR_I,21.8,72.3,966,,,,,,
895,India,Parbhani,19.26667,76.78333,394.363,43,MUMBAI,18.92,72.83,418,,,,,,
896,India,Patiala,30.32667,76.40028,684.928,596,KANDLA,23.02,70.22,1019,,,,,,
897,India,Patna,25.6,85.11667,2689.544,1002,TRIBENI,22.98,88.4,443,,,,,,
898,India,Puducherry,11.93,79.83,940.911,205,CHENNAI,13.1,80.3,140,,,,,,
899,India,Pune (Poona),18.516057,73.861578,7525.717,43,MUMBAI,18.92,72.83,118,,,,,,
900,India,Purnia,25.78333,87.46667,566.482,1002,TRIBENI,22.98,88.4,326,,,,,,
901,India,Raipur,21.23333,81.63333,1923.436,414,VISAKHAPATNAM,17.68,83.28,432,,,,,,
902,India,Rajahmundry,17.003789,81.789447,593.031,414,VISAKHAPATNAM,17.68,83.28,175,,,,,,
903,India,Rajkot,22.3,70.78333,2150.327,596,KANDLA,23.02,70.22,99,0.11173529411764704,0.4575,1.8998823529411761,0.14258823529411763,0.45999999999999996,1.9004705882352937
904,India,Rampur,28.806232,79.027699,473.662,420,BHAUNAGAR_I,21.8,72.3,1032,,,,,,
905,India,Ranchi,23.35,85.33333,1621.724,1002,TRIBENI,22.98,88.4,317,,,,,,
906,India,Raniganj,23.6164,87.13061,507.918,1002,TRIBENI,22.98,88.4,148,,,,,,
907,India,Ranipet,12.93148,79.332312,407.021,205,CHENNAI,13.1,80.3,107,,,,,,
908,India,Ratlam,23.31667,75.06667,346.299,420,BHAUNAGAR_I,21.8,72.3,331,,,,,,
909,India,Raurkela,22.224891,84.86175,676.909,1161,PARADIP,20.27,86.7,289,,,,,,
