location,lat,lon,gauge_id,gauge_name
487.0,51.86,-176.63,487.0,ADAK  SWEEPER_COVE
488.0,36.01,-5.6,488.0,TARIFA
489.0,51.15,2.73,489.0,NIEUWPOORT
490.0,36.12,-5.43,490.0,ALGECIRAS
491.0,52.83,173.2,491.0,MASSACRE_BAY
495.0,59.45,-135.33,495.0,SKAGWAY
496.0,36.71,-4.42,496.0,MALAGA
497.0,26.06,-97.22,497.0,PORT_ISABEL
498.0,35.89,-5.32,498.0,CEUTA
499.0,-33.03,-71.63,499.0,VALPARAISO
500.0,-41.28,174.78,500.0,WELLINGTON_II
501.0,-42.77,-65.03,501.0,PUERTO_MADRYN
503.0,31.22,29.92,503.0,ALEXANDRIA
508.0,35.18,-120.76,508.0,PORT_SAN_LUIS
509.0,62.47,6.15,509.0,ALESUND
510.0,-23.65,-70.4,510.0,ANTOFAGASTA_2
511.0,-23.65,-70.42,511.0,ANTOFAGASTA
513.0,8.73,167.74,513.0,KWAJALEIN
518.0,42.98,144.37,518.0,KUSHIRO
519.0,41.05,-71.96,519.0,MONTAUK
520.0,27.76,-82.63,520.0,ST. PETERSBURG
521.0,20.89,-156.48,521.0,KAHULUI_HARBOR
522.0,13.15,123.75,522.0,LEGASPI
523.0,28.21,-177.36,523.0,MIDWAY_ISLAND
524.0,70.37,31.1,524.0,VARDO
525.0,44.39,-68.2,525.0,BAR_HARBOR
526.0,29.26,-89.96,526.0,GRAND_ISLE
527.0,49.23,-124.82,527.0,PORT_ALBERNI
528.0,7.45,151.85,528.0,CHUUK
531.0,68.58,16.55,531.0,EVENSKJAER
537.0,7.08,125.63,537.0,DAVAO
538.0,28.02,-97.05,538.0,ROCKPORT
539.0,-14.28,-170.69,539.0,PAGO_PAGO
540.0,13.44,144.65,540.0,APRA_HARBOR
541.0,78.07,14.25,541.0,BARENTSBURG
542.0,-28.23,-48.65,542.0,IMBITUBA
543.0,22.2,88.17,543.0,DIAMOND_HARBOUR
544.0,-2.2,-80.92,544.0,LA_LIBERTAD_II
545.0,25.13,121.73,545.0,KEELUNG_II
546.0,44.02,145.87,546.0,YUZHNO_KURILSK
547.0,78.07,14.25,547.0,BARENTSBURG_II
549.0,-33.83,151.28,549.0,CAMP_COVE
552.0,10.0,-83.03,552.0,PUERTO_LIMON
554.0,50.58,-126.95,554.0,ALERT_BAY
555.0,-2.2,-80.92,555.0,LA_LIBERTAD
556.0,-8.05,-34.87,556.0,RECIFE
557.0,15.83,-87.95,557.0,PUERTO_CORTES
558.0,13.33,-87.82,558.0,LA_UNION
562.0,67.29,14.39,562.0,BODO
563.0,21.11,-76.12,563.0,GIBARA
564.0,-21.1,149.23,564.0,MACKAY
565.0,28.15,-15.41,565.0,LAS_PALMAS_C
