gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high
246,PENSACOLA,UNITED STATES,30.4,-87.21,0.33,0.68,2.13,0.26,0.6,2.05
247,PORT_LYTTELTON,NEW ZEALAND,-43.61,172.72,0.26,0.62,2.0,0.23,0.58,1.96
248,JOHOR_BAHRU,MALAYSIA,1.46,103.79,0.12,0.55,2.1,0.25,0.59,2.12
249,FOGLO,ÅLAND ISLANDS,60.03,20.38,-0.4,0.06,1.28,0.13,0.59,1.81
253,PORT_SAID,EGYPT,31.25,32.3,0.18,0.57,1.94,0.19,0.56,1.92
255,DOVER,UNITED KINGDOM,51.11,1.32,0.17,0.6,1.87,0.14,0.58,1.84
256,LA_JOLLA,UNITED STATES,32.87,-117.26,0.24,0.53,2.02,0.2,0.5,1.99
258,PONTA_DELGADA,PORTUGAL,37.74,-25.67,0.2,0.6,2.03,0.21,0.59,2.0
259,LYTTELTON_II,NEW ZEALAND,-43.61,172.72,0.26,0.62,2.0,0.23,0.58,1.96
260,JOLO,PHILIPPINES,6.07,121.0,0.13,0.54,2.1,0.21,0.6,2.16
265,ASTORIA,UNITED STATES,46.21,-123.77,0.02,0.32,1.74,0.2,0.5,1.92
266,SEWARD,UNITED STATES,60.12,-149.43,-0.41,-0.05,1.23,-0.1,0.26,1.53
267,NEWCASTLE_III,AUSTRALIA,-32.92,151.8,0.23,0.57,2.03,0.25,0.59,2.05
269,MACAU,MACAO,22.2,113.55,0.12,0.5,1.99,0.24,0.59,2.07
270,DAYTONA_BEACH,UNITED STATES,29.23,-81.0,0.32,0.67,2.14,0.28,0.63,2.09
271,MOMMARK,DENMARK,54.93,10.07,0.14,0.57,1.82,0.16,0.59,1.83
284,DURBAN,SOUTH AFRICA,-29.87,31.05,0.19,0.55,2.04,0.27,0.6,2.1
285,KASKINEN,FINLAND,62.34,21.21,-0.7,-0.23,0.96,0.11,0.58,1.77
286,IMMINGHAM,UNITED KINGDOM,53.63,-0.19,0.12,0.59,1.83,0.12,0.58,1.83
288,SEAVEY_ISLAND,UNITED STATES,43.08,-70.74,0.23,0.68,2.09,0.22,0.67,2.08
289,PIONERSKY,RUSSIAN FEDERATION,54.95,20.22,0.2,0.64,1.9,0.17,0.61,1.87
299,SEWELLS_POINT,UNITED STATES,36.95,-76.33,0.55,0.92,2.33,0.28,0.65,2.06
300,HILO,UNITED STATES,19.73,-155.06,0.4,0.77,2.46,0.28,0.65,2.34
302,TREGDE,NORWAY,58.01,7.55,-0.01,0.46,1.68,0.11,0.58,1.8
303,SANTA_CRUZ_DE_TENERIFE_I,SPAIN,28.48,-16.24,0.3,0.68,2.15,0.27,0.65,2.11
310,YAMBA,AUSTRALIA,-29.43,153.36,0.24,0.57,2.04,0.25,0.58,2.05
311,ANNAPOLIS,UNITED STATES,38.98,-76.48,0.46,0.85,2.24,0.27,0.66,2.05
312,NARVIK,NORWAY,68.43,17.43,-0.38,0.14,1.27,-0.01,0.52,1.63
313,HEIMSJO,NORWAY,63.43,9.1,-0.27,0.23,1.38,0.0,0.5,1.65
314,STORNOWAY,UNITED KINGDOM,58.21,-6.39,-0.04,0.44,1.61,0.04,0.52,1.69
315,HAMINA,FINLAND,60.56,27.18,-0.15,0.3,1.52,0.14,0.59,1.81
316,MAYPORT,UNITED STATES,30.39,-81.43,0.37,0.71,2.17,0.28,0.63,2.08
317,BOURGAS,BULGARIA,42.48,27.48,0.07,0.49,1.81,0.05,0.47,1.79
318,VARNA,BULGARIA,43.18,27.92,0.0,0.43,1.76,0.03,0.45,1.77
320,NEWCASTLE_I,AUSTRALIA,-32.92,151.8,0.23,0.57,2.03,0.25,0.59,2.05
330,KLAGSHAMN,SWEDEN,55.52,12.89,0.1,0.52,1.76,0.17,0.6,1.84
331,TAKORADI,GHANA,4.88,-1.75,0.32,0.67,2.13,0.28,0.61,2.07
332,EASTPORT,UNITED STATES,44.9,-66.98,0.26,0.72,2.12,0.2,0.66,2.05
333,NORTH_POINT,HONG KONG,22.3,114.2,0.08,0.49,1.99,0.24,0.59,2.08
334,SOUTHEND,UNITED KINGDOM,51.51,0.72,0.12,0.56,1.82,0.14,0.58,1.83
335,TILBURY,UNITED KINGDOM,51.47,0.37,0.14,0.58,1.83,0.14,0.57,1.83
336,TOWER_PIER,UNITED KINGDOM,51.5,0.08,0.14,0.58,1.83,0.14,0.57,1.82
350,PORTSMOUTH,UNITED KINGDOM,50.8,-1.11,0.12,0.55,1.81,0.13,0.56,1.82
351,NEWPORT,UNITED STATES,41.51,-71.33,0.35,0.8,2.22,0.23,0.68,2.1
352,SPLIT - GRADSKA_LUKA,CROATIA,43.51,16.44,0.11,0.47,1.74,0.15,0.51,1.77
353,BAKAR,CROATIA,45.3,14.53,0.12,0.47,1.73,0.14,0.49,1.75
359,MERA,JAPAN,34.92,139.82,0.45,0.83,2.47,0.25,0.63,2.26
360,WASHINGTON_DC,UNITED STATES,38.87,-77.02,0.44,0.82,2.21,0.28,0.66,2.05
361,ABERDEEN_I,UNITED KINGDOM,57.14,-2.08,0.0,0.5,1.71,0.07,0.56,1.78
362,WILLETS_POINT,UNITED STATES,40.79,-73.78,0.37,0.79,2.19,0.25,0.67,2.07
363,MIAMI_BEACH,UNITED STATES,25.77,-80.13,0.37,0.71,2.19,0.27,0.61,2.09
366,SANDY_HOOK,UNITED STATES,40.47,-74.01,0.49,0.9,2.3,0.26,0.67,2.07
